year,state_name,yield_per_acre,commodity
2025,ALABAMA,166.0,CORN
2025,ALABAMA,157.0,CORN
2025,ALABAMA,166.0,CORN
2025,ARKANSAS,178.0,CORN
2025,ARKANSAS,182.0,CORN
2025,ARKANSAS,178.0,CORN
2025,COLORADO,126.0,CORN
2025,COLORADO,118.0,CORN
2025,COLORADO,126.0,CORN
2025,DELAWARE,181.0,CORN
2025,DELAWARE,178.0,CORN
2025,DELAWARE,181.0,CORN
2025,GEORGIA,182.0,CORN
2025,GEORGIA,179.0,CORN
2025,GEORGIA,182.0,CORN
2025,IDAHO,230.0,CORN
2025,IDAHO,222.0,CORN
2025,IDAHO,230.0,CORN
2025,ILLINOIS,219.0,CORN
2025,ILLINOIS,221.0,CORN
2025,ILLINOIS,219.0,CORN
2025,INDIANA,205.0,CORN
2025,INDIANA,205.0,CORN
2025,INDIANA,205.0,CORN
2025,IOWA,219.0,CORN
2025,IOWA,222.0,CORN
2025,IOWA,219.0,CORN
2025,KANSAS,136.0,CORN
2025,KANSAS,139.0,CORN
2025,KANSAS,136.0,CORN
2025,KENTUCKY,175.0,CORN
2025,KENTUCKY,186.0,CORN
2025,KENTUCKY,175.0,CORN
2025,LOUISIANA,182.0,CORN
2025,LOUISIANA,180.0,CORN
2025,LOUISIANA,182.0,CORN
2025,MARYLAND,170.0,CORN
2025,MARYLAND,173.0,CORN
2025,MARYLAND,170.0,CORN
2025,MICHIGAN,180.0,CORN
2025,MICHIGAN,180.0,CORN
2025,MICHIGAN,180.0,CORN
2025,MINNESOTA,199.0,CORN
2025,MINNESOTA,202.0,CORN
2025,MINNESOTA,199.0,CORN
2025,MISSISSIPPI,179.0,CORN
2025,MISSISSIPPI,186.0,CORN
2025,MISSISSIPPI,179.0,CORN
2025,MISSOURI,184.0,CORN
2025,MISSOURI,191.0,CORN
2025,MISSOURI,184.0,CORN
2025,NEBRASKA,191.0,CORN
2025,NEBRASKA,192.0,CORN
2025,NEBRASKA,191.0,CORN
2025,NEW YORK,152.0,CORN
2025,NEW YORK,158.0,CORN
2025,NEW YORK,152.0,CORN
2025,NORTH CAROLINA,148.0,CORN
2025,NORTH CAROLINA,143.0,CORN
2025,NORTH CAROLINA,148.0,CORN
2025,NORTH DAKOTA,145.0,CORN
2025,NORTH DAKOTA,148.0,CORN
2025,NORTH DAKOTA,145.0,CORN
2025,OHIO,194.0,CORN
2025,OHIO,196.0,CORN
2025,OHIO,194.0,CORN
2025,OKLAHOMA,130.0,CORN
2025,OKLAHOMA,130.0,CORN
2025,OKLAHOMA,130.0,CORN
2025,PENNSYLVANIA,157.0,CORN
2025,PENNSYLVANIA,164.0,CORN
2025,PENNSYLVANIA,157.0,CORN
2025,SOUTH CAROLINA,150.0,CORN
2025,SOUTH CAROLINA,150.0,CORN
2025,SOUTH CAROLINA,150.0,CORN
2025,SOUTH DAKOTA,167.0,CORN
2025,SOUTH DAKOTA,168.0,CORN
2025,SOUTH DAKOTA,167.0,CORN
2025,TENNESSEE,175.0,CORN
2025,TENNESSEE,182.0,CORN
2025,TENNESSEE,175.0,CORN
2025,TEXAS,122.0,CORN
2025,TEXAS,120.0,CORN
2025,TEXAS,122.0,CORN
2025,VIRGINIA,173.0,CORN
2025,VIRGINIA,173.0,CORN
2025,VIRGINIA,173.0,CORN
2025,WASHINGTON,235.0,CORN
2025,WASHINGTON,235.0,CORN
2025,WASHINGTON,235.0,CORN
2025,WISCONSIN,184.0,CORN
2025,WISCONSIN,185.0,CORN
2025,WISCONSIN,184.0,CORN
2025,ALABAMA,38.0,SOYBEANS
2025,ALABAMA,39.0,SOYBEANS
2025,ALABAMA,38.0,SOYBEANS
2025,ARKANSAS,56.0,SOYBEANS
2025,ARKANSAS,56.0,SOYBEANS
2025,ARKANSAS,56.0,SOYBEANS
2025,DELAWARE,44.0,SOYBEANS
2025,DELAWARE,53.0,SOYBEANS
2025,DELAWARE,44.0,SOYBEANS
2025,GEORGIA,52.0,SOYBEANS
2025,GEORGIA,55.0,SOYBEANS
2025,GEORGIA,52.0,SOYBEANS
2025,ILLINOIS,65.0,SOYBEANS
2025,ILLINOIS,65.0,SOYBEANS
2025,ILLINOIS,65.0,SOYBEANS
2025,INDIANA,61.0,SOYBEANS
2025,INDIANA,62.0,SOYBEANS
2025,INDIANA,61.0,SOYBEANS
2025,IOWA,65.0,SOYBEANS
2025,IOWA,63.0,SOYBEANS
2025,IOWA,65.0,SOYBEANS
2025,KANSAS,39.0,SOYBEANS
2025,KANSAS,36.0,SOYBEANS
2025,KANSAS,39.0,SOYBEANS
2025,KENTUCKY,40.0,SOYBEANS
2025,KENTUCKY,52.0,SOYBEANS
2025,KENTUCKY,40.0,SOYBEANS
2025,LOUISIANA,54.0,SOYBEANS
2025,LOUISIANA,53.0,SOYBEANS
2025,LOUISIANA,54.0,SOYBEANS
2025,MARYLAND,45.0,SOYBEANS
2025,MARYLAND,49.0,SOYBEANS
2025,MARYLAND,45.0,SOYBEANS
2025,MICHIGAN,52.0,SOYBEANS
2025,MICHIGAN,52.0,SOYBEANS
2025,MICHIGAN,52.0,SOYBEANS
2025,MINNESOTA,53.0,SOYBEANS
2025,MINNESOTA,53.0,SOYBEANS
2025,MINNESOTA,53.0,SOYBEANS
2025,MISSISSIPPI,55.0,SOYBEANS
2025,MISSISSIPPI,57.0,SOYBEANS
2025,MISSISSIPPI,55.0,SOYBEANS
2025,MISSOURI,51.0,SOYBEANS
2025,MISSOURI,53.0,SOYBEANS
2025,MISSOURI,51.0,SOYBEANS
2025,NEBRASKA,61.0,SOYBEANS
2025,NEBRASKA,57.0,SOYBEANS
2025,NEBRASKA,61.0,SOYBEANS
2025,NEW JERSEY,43.0,SOYBEANS
2025,NEW JERSEY,42.0,SOYBEANS
2025,NEW JERSEY,43.0,SOYBEANS
2025,NEW YORK,47.0,SOYBEANS
2025,NEW YORK,50.0,SOYBEANS
2025,NEW YORK,47.0,SOYBEANS
2025,NORTH CAROLINA,39.0,SOYBEANS
2025,NORTH CAROLINA,40.0,SOYBEANS
2025,NORTH CAROLINA,39.0,SOYBEANS
2025,NORTH DAKOTA,37.0,SOYBEANS
2025,NORTH DAKOTA,36.0,SOYBEANS
2025,NORTH DAKOTA,37.0,SOYBEANS
2025,OHIO,56.0,SOYBEANS
2025,OHIO,57.0,SOYBEANS
2025,OHIO,56.0,SOYBEANS
2025,OKLAHOMA,29.0,SOYBEANS
2025,OKLAHOMA,25.0,SOYBEANS
2025,OKLAHOMA,29.0,SOYBEANS
2025,PENNSYLVANIA,45.0,SOYBEANS
2025,PENNSYLVANIA,47.0,SOYBEANS
2025,PENNSYLVANIA,45.0,SOYBEANS
2025,SOUTH CAROLINA,36.0,SOYBEANS
2025,SOUTH CAROLINA,37.0,SOYBEANS
2025,SOUTH CAROLINA,36.0,SOYBEANS
2025,SOUTH DAKOTA,47.0,SOYBEANS
2025,SOUTH DAKOTA,47.0,SOYBEANS
2025,SOUTH DAKOTA,47.0,SOYBEANS
2025,TENNESSEE,43.0,SOYBEANS
2025,TENNESSEE,50.0,SOYBEANS
2025,TENNESSEE,43.0,SOYBEANS
2025,TEXAS,27.0,SOYBEANS
2025,TEXAS,21.0,SOYBEANS
2025,TEXAS,27.0,SOYBEANS
2025,VIRGINIA,44.0,SOYBEANS
2025,VIRGINIA,48.0,SOYBEANS
2025,VIRGINIA,44.0,SOYBEANS
2025,WISCONSIN,55.0,SOYBEANS
2025,WISCONSIN,53.0,SOYBEANS
2025,WISCONSIN,55.0,SOYBEANS
2025,ALABAMA,71.0,WHEAT
2025,ALABAMA,71.0,WHEAT
2025,ARIZONA,117.0,WHEAT
2025,ARIZONA,117.0,WHEAT
2025,ARIZONA,114.0,WHEAT
2025,ARIZONA,114.0,WHEAT
2025,ARIZONA,113.0,WHEAT
2025,ARIZONA,113.0,WHEAT
2025,ARKANSAS,57.0,WHEAT
2025,ARKANSAS,57.0,WHEAT
2025,ARKANSAS,62.0,WHEAT
2025,ARKANSAS,62.0,WHEAT
2025,ARKANSAS,61.0,WHEAT
2025,ARKANSAS,58.0,WHEAT
2025,CALIFORNIA,90.4,WHEAT
2025,CALIFORNIA,125.0,WHEAT
2025,CALIFORNIA,100.0,WHEAT
2025,CALIFORNIA,100.0,WHEAT
2025,CALIFORNIA,105.0,WHEAT
2025,CALIFORNIA,100.0,WHEAT
2025,CALIFORNIA,86.0,WHEAT
2025,CALIFORNIA,85.0,WHEAT
2025,CALIFORNIA,85.0,WHEAT
2025,CALIFORNIA,87.0,WHEAT
2025,CALIFORNIA,90.0,WHEAT
2025,COLORADO,38.0,WHEAT
2025,COLORADO,38.0,WHEAT
2025,COLORADO,40.0,WHEAT
2025,COLORADO,40.0,WHEAT
2025,COLORADO,37.0,WHEAT
2025,COLORADO,38.0,WHEAT
2025,DELAWARE,86.0,WHEAT
2025,DELAWARE,86.0,WHEAT
2025,GEORGIA,66.0,WHEAT
2025,GEORGIA,66.0,WHEAT
2025,IDAHO,93.5,WHEAT
2025,IDAHO,84.0,WHEAT
2025,IDAHO,84.0,WHEAT
2025,IDAHO,79.0,WHEAT
2025,IDAHO,99.0,WHEAT
2025,IDAHO,97.0,WHEAT
2025,IDAHO,97.0,WHEAT
2025,IDAHO,97.0,WHEAT
2025,IDAHO,97.0,WHEAT
2025,ILLINOIS,88.0,WHEAT
2025,ILLINOIS,88.0,WHEAT
2025,ILLINOIS,87.0,WHEAT
2025,ILLINOIS,87.0,WHEAT
2025,ILLINOIS,86.0,WHEAT
2025,ILLINOIS,85.0,WHEAT
2025,INDIANA,89.0,WHEAT
2025,INDIANA,89.0,WHEAT
2025,INDIANA,87.0,WHEAT
2025,INDIANA,86.0,WHEAT
2025,INDIANA,86.0,WHEAT
2025,INDIANA,86.0,WHEAT
2025,KANSAS,51.0,WHEAT
