year,state_name,commodity,SRI,risk_category,yield_per_acre,recommendation,yield_risk,weather_risk,drought_risk,economic_risk
2025,CALIFORNIA - SUMMARY,ALL,14.507561727996835,Avg: 14.5,,,,,,
2025,CALIFORNIA,WHEAT,17.85608614799149,Low,85.0,Normal inventory,33.16024613711855,4.0,0.0,35.0
2025,CALIFORNIA,WHEAT,17.85608614799149,Low,85.0,Normal inventory,33.16024613711855,4.0,0.0,35.0
2025,CALIFORNIA,WHEAT,17.53430448380846,Low,86.0,Normal inventory,32.24086995373845,4.0,0.0,35.0
2025,CALIFORNIA,WHEAT,17.212522819625427,Low,87.0,Normal inventory,31.32149377035837,4.0,0.0,35.0
2025,CALIFORNIA,WHEAT,16.247177827076328,Low,90.0,Normal inventory,28.56336522021809,4.0,0.0,35.0
2025,CALIFORNIA,WHEAT,16.118465161403115,Low,90.4,Normal inventory,28.195614746866045,4.0,0.0,35.0
2025,CALIFORNIA,WHEAT,13.029361185246009,Low,100.0,Normal inventory,19.369603386417165,4.0,0.0,35.0
2025,CALIFORNIA,WHEAT,13.029361185246009,Low,100.0,Normal inventory,19.369603386417165,4.0,0.0,35.0
2025,CALIFORNIA,WHEAT,13.029361185246009,Low,100.0,Normal inventory,19.369603386417165,4.0,0.0,35.0
2025,CALIFORNIA,WHEAT,11.420452864330844,Low,105.0,Normal inventory,14.7727224695167,4.0,0.0,35.0
2025,CALIFORNIA,WHEAT,6.25,Low,125.0,Normal inventory,0.0,4.0,0.0,35.0
