year,state_name,commodity,SRI,risk_category,yield_per_acre,recommendation,yield_risk,weather_risk,drought_risk,economic_risk
2025,MARYLAND - SUMMARY,ALL,22.268597657023168,Avg: 22.3,,,,,,
2025,MARYLAND,SOYBEANS,25.774389203031504,Moderate,45.0,"Monitor closely, consider +5% stockpile",55.78396915151859,4.0,0.0,35.0
2025,MARYLAND,SOYBEANS,25.774389203031504,Moderate,45.0,"Monitor closely, consider +5% stockpile",55.78396915151859,4.0,0.0,35.0
2025,MARYLAND,CORN,25.120192571156668,Moderate,170.0,"Monitor closely, consider +5% stockpile",53.91483591759049,4.0,0.0,35.0
2025,MARYLAND,CORN,25.120192571156668,Moderate,170.0,"Monitor closely, consider +5% stockpile",53.91483591759049,4.0,0.0,35.0
2025,MARYLAND,CORN,24.38924854180158,Low,173.0,Normal inventory,51.82642440514738,4.0,0.0,35.0
2025,MARYLAND,SOYBEANS,22.967666323928064,Low,49.0,Normal inventory,47.76476092550875,4.0,0.0,35.0
2025,MARYLAND,WHEAT,20.75212112563878,Low,76.0,Normal inventory,41.43463178753938,4.0,0.0,35.0
2025,MARYLAND,WHEAT,19.786776133089685,Low,79.0,Normal inventory,38.6765032373991,4.0,0.0,35.0
2025,MARYLAND,WHEAT,19.786776133089685,Low,79.0,Normal inventory,38.6765032373991,4.0,0.0,35.0
2025,MARYLAND,WHEAT,19.464994468906653,Low,80.0,Normal inventory,37.75712705401901,4.0,0.0,35.0
2025,MARYLAND,WHEAT,19.464994468906653,Low,80.0,Normal inventory,37.75712705401901,4.0,0.0,35.0
2025,MARYLAND,WHEAT,18.82143114054059,Low,82.0,Normal inventory,35.918374687258826,4.0,0.0,35.0
