year,state_name,commodity,SRI,risk_category,yield_per_acre,recommendation,yield_risk,weather_risk,drought_risk,economic_risk
2025,MICHIGAN - SUMMARY,ALL,19.14424876642447,Avg: 19.1,,,,,,
2025,MICHIGAN,CORN,22.68371247330637,Low,180.0,Normal inventory,46.95346420944679,4.0,0.0,35.0
2025,MICHIGAN,CORN,22.68371247330637,Low,180.0,Normal inventory,46.95346420944679,4.0,0.0,35.0
2025,MICHIGAN,CORN,22.68371247330637,Low,180.0,Normal inventory,46.95346420944679,4.0,0.0,35.0
2025,MICHIGAN,SOYBEANS,20.86262416460048,Low,52.0,Normal inventory,41.75035475600137,4.0,0.0,35.0
2025,MICHIGAN,SOYBEANS,20.86262416460048,Low,52.0,Normal inventory,41.75035475600137,4.0,0.0,35.0
2025,MICHIGAN,SOYBEANS,20.86262416460048,Low,52.0,Normal inventory,41.75035475600137,4.0,0.0,35.0
2025,MICHIGAN,WHEAT,17.212522819625427,Low,87.0,Normal inventory,31.32149377035837,4.0,0.0,35.0
2025,MICHIGAN,WHEAT,16.89074115544239,Low,88.0,Normal inventory,30.40211758697827,4.0,0.0,35.0
2025,MICHIGAN,WHEAT,16.568959491259363,Low,89.0,Normal inventory,29.482741403598176,4.0,0.0,35.0
2025,MICHIGAN,WHEAT,16.247177827076328,Low,90.0,Normal inventory,28.56336522021809,4.0,0.0,35.0
2025,MICHIGAN,WHEAT,16.247177827076328,Low,90.0,Normal inventory,28.56336522021809,4.0,0.0,35.0
2025,MICHIGAN,WHEAT,15.925396162893296,Low,91.0,Normal inventory,27.643989036837997,4.0,0.0,35.0
