year,state_name,commodity,SRI,risk_category,yield_per_acre,recommendation,yield_risk,weather_risk,drought_risk,economic_risk
2025,MINNESOTA - SUMMARY,ALL,20.62552399311543,Avg: 20.6,,,,,,
2025,MINNESOTA,WHEAT,23.32637443910304,Low,68.0,Normal inventory,48.78964125458012,4.0,0.0,35.0
2025,MINNESOTA,WHEAT,23.00459277492001,Low,69.0,Normal inventory,47.87026507120002,4.0,0.0,35.0
2025,MINNESOTA,WHEAT,23.00459277492001,Low,69.0,Normal inventory,47.87026507120002,4.0,0.0,35.0
2025,MINNESOTA,WHEAT,23.00459277492001,Low,69.0,Normal inventory,47.87026507120002,4.0,0.0,35.0
2025,MINNESOTA,SOYBEANS,20.160943444824618,Low,53.0,Normal inventory,39.74555269949891,4.0,0.0,35.0
2025,MINNESOTA,SOYBEANS,20.160943444824618,Low,53.0,Normal inventory,39.74555269949891,4.0,0.0,35.0
2025,MINNESOTA,SOYBEANS,20.160943444824618,Low,53.0,Normal inventory,39.74555269949891,4.0,0.0,35.0
2025,MINNESOTA,CORN,18.054400287390816,Low,199.0,Normal inventory,33.726857963973764,4.0,0.0,35.0
2025,MINNESOTA,CORN,18.054400287390816,Low,199.0,Normal inventory,33.726857963973764,4.0,0.0,35.0
2025,MINNESOTA,CORN,17.323456258035726,Low,202.0,Normal inventory,31.63844645153065,4.0,0.0,35.0
