year,state_name,commodity,SRI,risk_category,yield_per_acre,recommendation,yield_risk,weather_risk,drought_risk,economic_risk
2025,NEBRASKA - SUMMARY,ALL,24.85859977153785,Avg: 24.9,,,,,,
2025,NEBRASKA,WHEAT,33.301606028777044,Moderate,37.0,"Monitor closely, consider +5% stockpile",77.29030293936297,4.0,0.0,35.0
2025,NEBRASKA,WHEAT,33.301606028777044,Moderate,37.0,"Monitor closely, consider +5% stockpile",77.29030293936297,4.0,0.0,35.0
2025,NEBRASKA,WHEAT,32.97982436459401,Moderate,38.0,"Monitor closely, consider +5% stockpile",76.3709267559829,4.0,0.0,35.0
2025,NEBRASKA,WHEAT,32.336261036227945,Moderate,40.0,"Monitor closely, consider +5% stockpile",74.5321743892227,4.0,0.0,35.0
2025,NEBRASKA,WHEAT,30.08378938694672,Moderate,47.0,"Monitor closely, consider +5% stockpile",68.09654110556205,4.0,0.0,35.0
2025,NEBRASKA,WHEAT,30.08378938694672,Moderate,47.0,"Monitor closely, consider +5% stockpile",68.09654110556205,4.0,0.0,35.0
2025,NEBRASKA,CORN,20.003584365671053,Low,191.0,Normal inventory,39.29595533048872,4.0,0.0,35.0
2025,NEBRASKA,CORN,20.003584365671053,Low,191.0,Normal inventory,39.29595533048872,4.0,0.0,35.0
2025,NEBRASKA,CORN,19.759936355886023,Low,192.0,Normal inventory,38.59981815967436,4.0,0.0,35.0
2025,NEBRASKA,SOYBEANS,17.35422056572117,Low,57.0,Normal inventory,31.726344473489064,4.0,0.0,35.0
2025,NEBRASKA,SOYBEANS,14.54749768661773,Low,61.0,Normal inventory,23.707136247479227,4.0,0.0,35.0
2025,NEBRASKA,SOYBEANS,14.54749768661773,Low,61.0,Normal inventory,23.707136247479227,4.0,0.0,35.0
