year,state_name,commodity,SRI,risk_category,yield_per_acre,recommendation,yield_risk,weather_risk,drought_risk,economic_risk
2025,NORTH CAROLINA - SUMMARY,ALL,27.734179122527717,Avg: 27.7,,,,,,
2025,NORTH CAROLINA,CORN,31.698688835352467,Moderate,143.0,"Monitor closely, consider +5% stockpile",72.71053952957848,4.0,0.0,35.0
2025,NORTH CAROLINA,CORN,30.480448786427317,Moderate,148.0,"Monitor closely, consider +5% stockpile",69.22985367550662,4.0,0.0,35.0
2025,NORTH CAROLINA,CORN,30.480448786427317,Moderate,148.0,"Monitor closely, consider +5% stockpile",69.22985367550662,4.0,0.0,35.0
2025,NORTH CAROLINA,SOYBEANS,29.984473521686677,Moderate,39.0,"Monitor closely, consider +5% stockpile",67.81278149053335,4.0,0.0,35.0
2025,NORTH CAROLINA,SOYBEANS,29.984473521686677,Moderate,39.0,"Monitor closely, consider +5% stockpile",67.81278149053335,4.0,0.0,35.0
2025,NORTH CAROLINA,SOYBEANS,29.28279280191081,Moderate,40.0,"Monitor closely, consider +5% stockpile",65.8079794340309,4.0,0.0,35.0
2025,NORTH CAROLINA,WHEAT,26.222409416750327,Moderate,59.0,"Monitor closely, consider +5% stockpile",57.064026905000944,4.0,0.0,35.0
2025,NORTH CAROLINA,WHEAT,25.9006277525673,Moderate,60.0,"Monitor closely, consider +5% stockpile",56.144650721620856,4.0,0.0,35.0
2025,NORTH CAROLINA,WHEAT,25.9006277525673,Moderate,60.0,"Monitor closely, consider +5% stockpile",56.144650721620856,4.0,0.0,35.0
2025,NORTH CAROLINA,WHEAT,24.9352827600182,Low,63.0,Normal inventory,53.38652217148058,4.0,0.0,35.0
2025,NORTH CAROLINA,WHEAT,24.291719431652137,Low,65.0,Normal inventory,51.5477698047204,4.0,0.0,35.0
2025,NORTH CAROLINA,WHEAT,23.648156103286077,Low,67.0,Normal inventory,49.70901743796021,4.0,0.0,35.0
