year,state_name,commodity,SRI,risk_category,yield_per_acre,recommendation,yield_risk,weather_risk,drought_risk,economic_risk
2025,PENNSYLVANIA - SUMMARY,ALL,24.141974880787007,Avg: 24.1,,,,,,
2025,PENNSYLVANIA,CORN,28.28761669836205,Moderate,157.0,"Monitor closely, consider +5% stockpile",62.9646191381773,4.0,0.0,35.0
2025,PENNSYLVANIA,CORN,28.28761669836205,Moderate,157.0,"Monitor closely, consider +5% stockpile",62.9646191381773,4.0,0.0,35.0
2025,PENNSYLVANIA,CORN,26.582080629866848,Moderate,164.0,"Monitor closely, consider +5% stockpile",58.09165894247671,4.0,0.0,35.0
2025,PENNSYLVANIA,SOYBEANS,25.774389203031504,Moderate,45.0,"Monitor closely, consider +5% stockpile",55.78396915151859,4.0,0.0,35.0
2025,PENNSYLVANIA,SOYBEANS,25.774389203031504,Moderate,45.0,"Monitor closely, consider +5% stockpile",55.78396915151859,4.0,0.0,35.0
2025,PENNSYLVANIA,SOYBEANS,24.371027763479784,Low,47.0,Normal inventory,51.77436503851367,4.0,0.0,35.0
2025,PENNSYLVANIA,WHEAT,22.03924778237091,Low,72.0,Normal inventory,45.11213652105975,4.0,0.0,35.0
2025,PENNSYLVANIA,WHEAT,22.03924778237091,Low,72.0,Normal inventory,45.11213652105975,4.0,0.0,35.0
2025,PENNSYLVANIA,WHEAT,22.03924778237091,Low,72.0,Normal inventory,45.11213652105975,4.0,0.0,35.0
2025,PENNSYLVANIA,WHEAT,21.71746611818788,Low,73.0,Normal inventory,44.19276033767966,4.0,0.0,35.0
2025,PENNSYLVANIA,WHEAT,21.71746611818788,Low,73.0,Normal inventory,44.19276033767966,4.0,0.0,35.0
2025,PENNSYLVANIA,WHEAT,21.073902789821812,Low,75.0,Normal inventory,42.35400797091947,4.0,0.0,35.0
