year,state_name,commodity,SRI,risk_category,yield_per_acre,recommendation,yield_risk,weather_risk,drought_risk,economic_risk
2025,TENNESSEE - SUMMARY,ALL,22.91632625929559,Avg: 22.9,,,,,,
2025,TENNESSEE,SOYBEANS,27.17775064258323,Moderate,43.0,"Monitor closely, consider +5% stockpile",59.79357326452352,4.0,0.0,35.0
2025,TENNESSEE,SOYBEANS,27.17775064258323,Moderate,43.0,"Monitor closely, consider +5% stockpile",59.79357326452352,4.0,0.0,35.0
2025,TENNESSEE,CORN,23.901952522231525,Low,175.0,Normal inventory,50.43415006351864,4.0,0.0,35.0
2025,TENNESSEE,CORN,23.901952522231525,Low,175.0,Normal inventory,50.43415006351864,4.0,0.0,35.0
2025,TENNESSEE,SOYBEANS,22.2659856041522,Low,50.0,Normal inventory,45.75995886900629,4.0,0.0,35.0
2025,TENNESSEE,CORN,22.19641645373632,Low,182.0,Normal inventory,45.56118986781805,4.0,0.0,35.0
2025,TENNESSEE,WHEAT,21.71746611818788,Low,73.0,Normal inventory,44.19276033767966,4.0,0.0,35.0
2025,TENNESSEE,WHEAT,21.71746611818788,Low,73.0,Normal inventory,44.19276033767966,4.0,0.0,35.0
2025,TENNESSEE,WHEAT,21.395684454004844,Low,74.0,Normal inventory,43.27338415429956,4.0,0.0,35.0
2025,TENNESSEE,WHEAT,21.395684454004844,Low,74.0,Normal inventory,43.27338415429956,4.0,0.0,35.0
2025,TENNESSEE,WHEAT,21.073902789821812,Low,75.0,Normal inventory,42.35400797091947,4.0,0.0,35.0
2025,TENNESSEE,WHEAT,21.073902789821812,Low,75.0,Normal inventory,42.35400797091947,4.0,0.0,35.0
