year,state_name,commodity,SRI,risk_category,yield_per_acre,recommendation,yield_risk,weather_risk,drought_risk,economic_risk
2025,VIRGINIA - SUMMARY,ALL,24.279698955854737,Avg: 24.3,,,,,,
2025,VIRGINIA,SOYBEANS,26.47606992280737,Moderate,44.0,"Monitor closely, consider +5% stockpile",57.78877120802105,4.0,0.0,35.0
2025,VIRGINIA,SOYBEANS,26.47606992280737,Moderate,44.0,"Monitor closely, consider +5% stockpile",57.78877120802105,4.0,0.0,35.0
2025,VIRGINIA,CORN,24.38924854180158,Low,173.0,Normal inventory,51.82642440514738,4.0,0.0,35.0
2025,VIRGINIA,CORN,24.38924854180158,Low,173.0,Normal inventory,51.82642440514738,4.0,0.0,35.0
2025,VIRGINIA,CORN,24.38924854180158,Low,173.0,Normal inventory,51.82642440514738,4.0,0.0,35.0
2025,VIRGINIA,WHEAT,24.291719431652137,Low,65.0,Normal inventory,51.5477698047204,4.0,0.0,35.0
2025,VIRGINIA,WHEAT,23.969937767469105,Low,66.0,Normal inventory,50.6283936213403,4.0,0.0,35.0
2025,VIRGINIA,WHEAT,23.969937767469105,Low,66.0,Normal inventory,50.6283936213403,4.0,0.0,35.0
2025,VIRGINIA,SOYBEANS,23.66934704370392,Low,48.0,Normal inventory,49.76956298201121,4.0,0.0,35.0
2025,VIRGINIA,WHEAT,23.648156103286077,Low,67.0,Normal inventory,49.70901743796021,4.0,0.0,35.0
2025,VIRGINIA,WHEAT,23.648156103286077,Low,67.0,Normal inventory,49.70901743796021,4.0,0.0,35.0
2025,VIRGINIA,WHEAT,22.03924778237091,Low,72.0,Normal inventory,45.11213652105975,4.0,0.0,35.0
