year,state_name,Value,commodity,avg_temp_f,total_precip_inches,drought_severity_index,drought_category,yield_anomaly,yield_yoy_change,temp_stress,precip_anomaly,drought_risk_score
2010,ALABAMA,115.0,CORN,68.5,23.6,128.0,Low,-4.9131816005918365,,1.5,-9.83004201373131,25.6
2010,ALABAMA,115.0,CORN,68.5,23.6,128.0,Low,-4.9131816005918365,0.0,1.5,-9.83004201373131,25.6
2010,ALABAMA,120.0,CORN,68.5,23.6,128.0,Low,-0.7789721049653949,4.347826086956519,1.5,-9.83004201373131,25.6
2010,ALABAMA,120.0,CORN,68.5,23.6,128.0,Low,-0.7789721049653949,0.0,1.5,-9.83004201373131,25.6
2010,ALABAMA,120.0,CORN,68.5,23.6,128.0,Low,-0.7789721049653949,0.0,1.5,-9.83004201373131,25.6
2010,ALABAMA,15.0,CORN,68.5,23.6,128.0,Low,-87.59737151312066,-87.5,1.5,-9.83004201373131,25.6
2011,ALABAMA,114.0,CORN,63.4,22.3,106.0,Low,-5.740023499717125,660.0,6.600000000000001,-14.797031224839335,21.2
2011,ALABAMA,100.0,CORN,63.4,22.3,106.0,Low,-17.315810087471164,-12.28070175438597,6.600000000000001,-14.797031224839335,21.2
2011,ALABAMA,107.0,CORN,63.4,22.3,106.0,Low,-11.527916793594144,7.000000000000006,6.600000000000001,-14.797031224839335,21.2
2011,ALABAMA,107.0,CORN,63.4,22.3,106.0,Low,-11.527916793594144,0.0,6.600000000000001,-14.797031224839335,21.2
2011,ALABAMA,105.0,CORN,63.4,22.3,106.0,Low,-13.181600591844719,-1.869158878504673,6.600000000000001,-14.797031224839335,21.2
2011,ALABAMA,9.0,CORN,63.4,22.3,106.0,Low,-92.55842290787241,-91.42857142857143,6.600000000000001,-14.797031224839335,21.2
2012,ALABAMA,176.6,CORN,72.3,34.4,170.0,Low,46.020279385525924,1862.222222222222,2.299999999999997,31.434176047781463,34.0
2012,ALABAMA,83.2,CORN,72.3,34.4,170.0,Low,-31.206753992776004,-52.88788221970555,2.299999999999997,31.434176047781463,34.0
2012,ALABAMA,12.2,CORN,72.3,34.4,170.0,Low,-89.91252883067148,-85.33653846153845,2.299999999999997,31.434176047781463,34.0
2012,ALABAMA,109.5,CORN,72.3,34.4,170.0,Low,-9.460812045780923,797.5409836065575,2.299999999999997,31.434176047781463,34.0
2012,ALABAMA,98.0,CORN,72.3,34.4,170.0,Low,-18.96949388572174,-10.502283105022837,2.299999999999997,31.434176047781463,34.0
2012,ALABAMA,85.0,CORN,72.3,34.4,170.0,Low,-29.718438574350486,-13.265306122448983,2.299999999999997,31.434176047781463,34.0
2012,ALABAMA,105.0,CORN,72.3,34.4,170.0,Low,-13.181600591844719,23.529411764705888,2.299999999999997,31.434176047781463,34.0
2012,ALABAMA,100.0,CORN,72.3,34.4,170.0,Low,-17.315810087471164,-4.761904761904767,2.299999999999997,31.434176047781463,34.0
2012,ALABAMA,100.0,CORN,72.3,34.4,170.0,Low,-17.315810087471164,0.0,2.299999999999997,31.434176047781463,34.0
2012,ALABAMA,12.0,CORN,72.3,34.4,170.0,Low,-90.07789721049654,-88.0,2.299999999999997,31.434176047781463,34.0
2013,ALABAMA,131.0,CORN,63.4,22.2,162.0,Low,8.316288785412777,991.6666666666666,6.600000000000001,-15.179107318001495,32.4
2013,ALABAMA,199.0,CORN,63.4,22.2,162.0,Low,64.54153792593239,51.908396946564885,6.600000000000001,-15.179107318001495,32.4
2013,ALABAMA,199.0,CORN,63.4,22.2,162.0,Low,64.54153792593239,0.0,6.600000000000001,-15.179107318001495,32.4
2013,ALABAMA,147.0,CORN,63.4,22.2,162.0,Low,21.54575917141739,-26.13065326633166,6.600000000000001,-15.179107318001495,32.4
2013,ALABAMA,13.0,CORN,63.4,22.2,162.0,Low,-89.25105531137125,-91.15646258503402,6.600000000000001,-15.179107318001495,32.4
2013,ALABAMA,147.0,CORN,63.4,22.2,162.0,Low,21.54575917141739,1030.769230769231,6.600000000000001,-15.179107318001495,32.4
2013,ALABAMA,145.0,CORN,63.4,22.2,162.0,Low,19.892075373166815,-1.3605442176870763,6.600000000000001,-15.179107318001495,32.4
2013,ALABAMA,150.0,CORN,63.4,22.2,162.0,Low,24.026284868793258,3.4482758620689724,6.600000000000001,-15.179107318001495,32.4
2013,ALABAMA,145.0,CORN,63.4,22.2,162.0,Low,19.892075373166815,-3.3333333333333326,6.600000000000001,-15.179107318001495,32.4
2013,ALABAMA,17.0,CORN,63.4,22.2,162.0,Low,-85.9436877148701,-88.27586206896552,6.600000000000001,-15.179107318001495,32.4
2014,ALABAMA,159.0,CORN,69.8,28.3,157.0,Low,31.46786196092085,835.2941176470589,0.20000000000000284,8.127534364889993,31.4
2014,ALABAMA,149.0,CORN,69.8,28.3,157.0,Low,23.19944296966797,-6.2893081761006275,0.20000000000000284,8.127534364889993,31.4
2014,ALABAMA,156.0,CORN,69.8,28.3,157.0,Low,28.98733626354499,4.697986577181212,0.20000000000000284,8.127534364889993,31.4
2014,ALABAMA,155.0,CORN,69.8,28.3,157.0,Low,28.160494364419698,-0.6410256410256387,0.20000000000000284,8.127534364889993,31.4
2014,ALABAMA,149.0,CORN,69.8,28.3,157.0,Low,23.19944296966797,-3.8709677419354827,0.20000000000000284,8.127534364889993,31.4
2014,ALABAMA,17.0,CORN,69.8,28.3,157.0,Low,-85.9436877148701,-88.59060402684564,0.20000000000000284,8.127534364889993,31.4
2015,ALABAMA,147.0,CORN,66.5,26.2,135.0,Low,21.54575917141739,764.7058823529411,3.5,0.10393640848472227,27.0
2015,ALABAMA,138.0,CORN,66.5,26.2,135.0,Low,14.104182079289796,-6.122448979591832,3.5,0.10393640848472227,27.0
2015,ALABAMA,140.0,CORN,66.5,26.2,135.0,Low,15.757865877540372,1.449275362318847,3.5,0.10393640848472227,27.0
2015,ALABAMA,139.0,CORN,66.5,26.2,135.0,Low,14.931023978415084,-0.7142857142857117,3.5,0.10393640848472227,27.0
2015,ALABAMA,133.0,CORN,66.5,26.2,135.0,Low,9.969972583663354,-4.316546762589923,3.5,0.10393640848472227,27.0
2015,ALABAMA,15.0,CORN,66.5,26.2,135.0,Low,-87.59737151312066,-88.72180451127821,3.5,0.10393640848472227,27.0
2016,ALABAMA,120.0,CORN,71.7,34.5,126.0,Low,-0.7789721049653949,700.0,1.7000000000000028,31.816252140943625,25.2
2016,ALABAMA,130.0,CORN,71.7,34.5,126.0,Low,7.489446886287489,8.333333333333325,1.7000000000000028,31.816252140943625,25.2
2016,ALABAMA,122.0,CORN,71.7,34.5,126.0,Low,0.874711693285182,-6.153846153846154,1.7000000000000028,31.816252140943625,25.2
2016,ALABAMA,124.0,CORN,71.7,34.5,126.0,Low,2.5283954915357585,1.6393442622950838,1.7000000000000028,31.816252140943625,25.2
2016,ALABAMA,124.0,CORN,71.7,34.5,126.0,Low,2.5283954915357585,0.0,1.7000000000000028,31.816252140943625,25.2
2016,ALABAMA,16.0,CORN,71.7,34.5,126.0,Low,-86.77052961399538,-87.09677419354838,1.7000000000000028,31.816252140943625,25.2
2017,ALABAMA,183.1,CORN,70.5,33.5,239.0,Moderate,51.394751729840294,1044.375,0.5,27.995491209322072,47.8
2017,ALABAMA,16.2,CORN,70.5,33.5,239.0,Moderate,-86.60516123417032,-91.15237575095576,0.5,27.995491209322072,47.8
2017,ALABAMA,150.9,CORN,70.5,33.5,239.0,Moderate,24.770442578006023,831.4814814814815,0.5,27.995491209322072,47.8
2017,ALABAMA,13.8,CORN,70.5,33.5,239.0,Moderate,-88.58958179207103,-90.8548707753479,0.5,27.995491209322072,47.8
2017,ALABAMA,180.7,CORN,70.5,33.5,239.0,Moderate,49.410331171939596,1209.4202898550723,0.5,27.995491209322072,47.8
2017,ALABAMA,167.0,CORN,70.5,33.5,239.0,Moderate,38.08259715392316,-7.581627006087432,0.5,27.995491209322072,47.8
2017,ALABAMA,165.0,CORN,70.5,33.5,239.0,Moderate,36.428913355672584,-1.19760479041916,0.5,27.995491209322072,47.8
2017,ALABAMA,165.0,CORN,70.5,33.5,239.0,Moderate,36.428913355672584,0.0,0.5,27.995491209322072,47.8
2017,ALABAMA,170.0,CORN,70.5,33.5,239.0,Moderate,40.56312285129902,3.0303030303030276,0.5,27.995491209322072,47.8
2017,ALABAMA,167.0,CORN,70.5,33.5,239.0,Moderate,38.08259715392316,-1.764705882352946,0.5,27.995491209322072,47.8
2017,ALABAMA,17.0,CORN,70.5,33.5,239.0,Moderate,-85.9436877148701,-89.82035928143712,0.5,27.995491209322072,47.8
