year,state_name,avg_temp_f,total_precip_inches,gdd_total,days_count
2010,ALABAMA,68.8,15.5,1981,183
2011,ALABAMA,66.5,17.79,1804,183
2012,ALABAMA,69.1,32.84,1789,183
2013,ALABAMA,68.5,15.64,1795,183
2014,ALABAMA,66.3,25.11,1727,183
2015,ALABAMA,68.4,29.32,2258,183
2016,ALABAMA,67.5,23.98,1984,183
2017,ALABAMA,69.9,15.13,1863,183
2018,ALABAMA,69.2,21.81,1859,183
2019,ALABAMA,66.3,30.27,1804,183
2020,ALABAMA,65.6,16.93,2052,183
2021,ALABAMA,68.6,31.14,2170,183
2022,ALABAMA,68.2,34.46,2087,183
2023,ALABAMA,65.5,20.86,2070,183
2024,ALABAMA,68.5,29.09,1746,183
2010,ALASKA,69.0,30.46,1781,183
2011,ALASKA,70.1,32.33,2089,183
2012,ALASKA,66.7,27.71,2073,183
2013,ALASKA,66.0,22.11,1973,183
2014,ALASKA,69.2,28.67,1773,183
2015,ALASKA,68.7,18.42,1950,183
2016,ALASKA,66.0,22.59,2270,183
2017,ALASKA,66.3,21.49,1757,183
2018,ALASKA,66.4,15.64,2023,183
2019,ALASKA,67.4,16.32,2280,183
2020,ALASKA,70.3,21.29,2211,183
2021,ALASKA,67.4,33.29,2169,183
2022,ALASKA,65.9,17.79,2274,183
2023,ALASKA,68.2,29.94,2138,183
2024,ALASKA,70.4,22.99,1924,183
2010,ARIZONA,71.0,17.77,2205,183
2011,ARIZONA,65.5,15.94,1812,183
2012,ARIZONA,65.9,18.2,2132,183
2013,ARIZONA,68.6,22.7,2179,183
2014,ARIZONA,68.2,34.42,1711,183
2015,ARIZONA,69.1,17.29,2249,183
2016,ARIZONA,69.5,30.37,2048,183
2017,ARIZONA,65.7,23.7,2164,183
2018,ARIZONA,65.0,29.44,1969,183
2019,ARIZONA,70.8,30.24,2219,183
2020,ARIZONA,70.5,32.41,2005,183
2021,ARIZONA,70.1,25.15,1903,183
2022,ARIZONA,65.9,30.25,2252,183
2023,ARIZONA,70.7,33.45,1700,183
2024,ARIZONA,68.6,24.77,1814,183
2010,ARKANSAS,70.6,32.57,2014,183
2011,ARKANSAS,66.4,19.82,2280,183
2012,ARKANSAS,70.7,16.71,2197,183
2013,ARKANSAS,69.9,34.56,2245,183
2014,ARKANSAS,69.6,17.57,2186,183
2015,ARKANSAS,70.7,18.3,2240,183
2016,ARKANSAS,70.2,23.46,1916,183
2017,ARKANSAS,70.6,30.11,1905,183
2018,ARKANSAS,69.3,22.98,2082,183
2019,ARKANSAS,67.6,25.35,1823,183
2020,ARKANSAS,66.5,16.28,1721,183
2021,ARKANSAS,68.5,19.6,1925,183
2022,ARKANSAS,65.0,29.16,1760,183
2023,ARKANSAS,66.4,33.11,2038,183
2024,ARKANSAS,65.4,19.76,2197,183
2010,CALIFORNIA,66.3,17.65,2284,183
2011,CALIFORNIA,68.5,19.86,2184,183
2012,CALIFORNIA,69.8,18.81,1799,183
2013,CALIFORNIA,69.0,22.09,2120,183
2014,CALIFORNIA,67.8,29.58,1800,183
2015,CALIFORNIA,65.4,29.56,1811,183
2016,CALIFORNIA,66.5,18.8,2159,183
2017,CALIFORNIA,65.8,18.67,2173,183
2018,CALIFORNIA,66.5,33.47,2153,183
2019,CALIFORNIA,69.8,32.12,1800,183
2020,CALIFORNIA,65.3,34.99,1715,183
2021,CALIFORNIA,70.8,33.53,1942,183
2022,CALIFORNIA,66.0,24.71,1918,183
2023,CALIFORNIA,70.2,33.05,1868,183
2024,CALIFORNIA,67.3,34.71,1971,183
2010,COLORADO,70.6,30.7,1992,183
2011,COLORADO,67.5,34.15,2269,183
2012,COLORADO,69.0,24.73,1894,183
2013,COLORADO,66.8,34.37,2293,183
2014,COLORADO,69.4,16.22,2021,183
2015,COLORADO,65.3,26.68,2214,183
2016,COLORADO,70.5,25.62,1758,183
